Watch Date,Name,Year of Release,Director
03/01/2022,Baisers Voles,1968,Francois Truffaut
18/01/2022,La Planète Sauvage,1973,René Laloux
26/01/2022,Licorice Pizza,2021,Paul Thomas Anderson
02/02/2022,The Godfather Part 3,1990,Francis Ford Coppola
05/02/2022,On the Waterfront,1954,Elia Kazan
06/02/2022,Roman Holiday,1953,William Wyler
10/02/2022,Perfect Blue,1997,Satoshi Kon
21/02/2022,Chinatown,1974,nevermind
03/03/2022,Daughters of the Dust,1991,Julie Dash
06/03/2022,Out of the Blue,1980,Dennis Hopper
22/03/2022,Stroszek,1977,Werner Herzog
22/03/2022,Hyena,2014,Gerard Johnson
30/03/2022,Four Adventures of Reinette & Mirabelle,1987,Eric Rohmer
31/03/2022,Pauline at the Beach,1983,Eric Rohmer
01/04/2022,My Girlfriends Boyfriend,1987,Eric Rohmer
08/04/2022,Belfast,2021,Kenneth Branagh
12/04/2022,"Distance Voices, Still Lives",1988,Terrence Davies
14/04/2022,M,1931,Fritz Lang
01/05/2022,Sonatine,1993,Takeshi Kitano
04/05/2022,Violent Cop,1989,Takeshi Kitano
11/05/2022,The Souvenir,2019,Joanna Hogg
17/05/2022,Hausu,1977,Nobuhiko Obayashi
19/05/2022,The White Ribbon,2009,Michael Haneke
12/06/2022,Dirty Pictures,2010,Etienne Sauret
13/07/2022,Speaking In Code,2009,Amy Lee Grill
15/07/2022,The Imitation Game,2014,Morten Tyldum
18/07/2022,"Synecdoche, New York",2008,Charlie Kaufman
26/07/2022,Chunking Express,1994,Wong Kar-wai
29/07/2022,Fallen Angels,1995,Wong Kar-wai
08/08/2022,Days of Being Wild,1990,Wong Kar-wai
13/08/2022,Bad Times at the El Royale,2018,Drew Goddard
15/08/2022,2046,2004,Wong Kar-Wai
30/08/2022,"Everything, Everywhere, All At Once",2022,The Daniels
04/09/2022,Thief,1981,Michael Mann
07/09/2022,Manhunter,1986,Michael Mann
19/09/2022,The 400 Blows,1959,Francois Truffaut
05/10/2022,Jules et Jim,1962,Francois Truffaut
24/10/2022,We’re All Going to the Worlds Fair,2021,Jane Schoenbrun
25/10/2022,The Appointment,1981,Lindsey Vickers
03/11/2022,County Lines,2019,Henry Blake
22/11/2022,Paris is Burning,1991,Jenny Livingston
02/12/2022,Bones and All,2022,Luca Guadagnino
06/12/2022,The Killing of a Chinese Bookie,1976,John Cassavetes
09/12/2022,An American Werewolf in London,1981,John Landis
22/12/2022,Aftersun,2022,Charlotte Wells
30/12/2022,The Banshees of Inisherin,2022,Martin McDonagh
